Fund Name,Amount Raised $M USD,Date announced and or Raised,Year Raised,Fund Number,Location,Notes
229,Work-Bench,$47,12/13/2018,2018,II,NYC,https://techcrunch.com/2018/12/13/nycs-work-bench-announces-47m-enterprise-investment-fund/
230,212,$34,12/13/2018,2018,II,Turkey,
231,One Way Ventures,$28,11/18/2018,2018,I,Boston,https://www.wsj.com/articles/new-funds-aim-to-help-immigrant-founders-1510948911
232,500 Startups Vietname,$14,11/18/2018,2018,I,Vietnam,
233,Wonder Ventures,$15,11/15/2018,2018,II,LA,https://medium.com/@duro/announcing-wonder-ventures-fund-ii-15m-pre-seed-fund-focused-on-la-3ace050e8ea2
234,Comeback Capital ,$2,10/17/2018,2018,I,Ohio,https://businessjournaldaily.com/fund-connects-regional-startups-with-national-investment/
235,Version One Ventures,$45,10/17/2018,2018,III,"Vancover, Canada and Bay Area",https://www.geekwire.com/2018/version-one-ventures-raises-45m-third-fund-keeps-close-eye-seattle-ecosystem/
236,Atomic,$150,10/10/2018,2018,II,Bay Area,https://www.forbes.com/sites/alexkonrad/2018/10/10/atomic-startup-studio-new-fund/#4ccee372e570
237,Base10 Partners,$137,9/17/2018,2018,I,Bay Area,https://venturebeat.com/2018/09/17/base10-partners-launches-137-million-early-stage-ai-startup-fund/amp/
238,Seven Peaks Ventures,$28,9/13/2018,2018,II,Oregon,https://www.geekwire.com/2018/seven-peaks-ventures-raises-28m-fund-will-invest-25-early-stage-startups-across-pacific-northwest/
239,645 Ventures,$41,8/23/2018,2018,II,NYC,
240,Corigin Ventures,$22,8/20/2018,2018,II,NYC,https://therealdeal.com/2018/08/20/corigin-ventures-raises-22m-in-second-fund/
241,Cowboy Ventures,$95,8/7/2018,2018,III,Bay Area,
242,Company Ventures,$35,8/1/2018,2018,I,NYC,
243,Health Enterprise Partners,$188,8/9/2018,2018,III,NYC,https://www.prnewswire.com/news-releases/health-enterprise-partners-raises-188-million-in-oversubscribed-third-fund-300676848.html
244,RevTech Ventures,$40,7/30/2018,2018,VII,"Dallas, Texas",
245,Eos Venture Partners,$100,7/12/2018,2018,I,Philadelphia and London,
246,New Voices Fund,$100,7/6/2018,2018,I,,https://newvoicesfund.com/about/
247,ANIMO Ventures,$60,7/1/2018,2018,I,"SF, NY, Miami",
248,Wave Capital,$53,6/26/2018,2018,I,LA,
249,Primary Venure Partners,$100,6/12/2018,2018,II,NYC,https://techcrunch.com/2018/06/12/primary-venture-partnrs-fund-ii/
250,White Star Capital ,$180,6/4/2018,2018,II,"London, New York, Montreal, Paris, Tokyo ",
251,Stride,$53,6/4/2018,2018,I,UK,https://techcrunch.com/2018/06/04/stride-vc/
252,Huobi Partners,$93,6/1/2018,2018,I,South Korea,https://www.coindesk.com/huobi-partners-on-93-million-china-south-korea-blockchain-fund/?utm_content=bufferff85d&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
253,Collaborative Fund,$100,5/29/2018,2018,IV,NYC,
254,Contrary Captal,$2,5/24/2018,2018,I,Midwest,https://medium.com/@contrarycapital/announcing-fund-i-365e8ea66f78
255,Underscore,$115,5/30/2018,2018,II,Boston,
256,Silverton Partners,$108,5/11/2018,2018,V,"Austin, Texas",
257,Female Founders Fund,$27,5/8/2018,2018,II,NYC,
258,Backstage Capital,$36,5/4/2018,2018,II,Los Angeles,
259,Salesforce Ventures - Canadian Trailblazer Fund,$100,5/3/2018,2018,I,Bay Area,
260,Hustle Fund,$12,5/1/2018,2018,I,Bay Area,
261,Golden Ventures,$58,5/2/22018,2018,III,"Toronto, Canada",
262,South Park Commons,$40,4/26/2018,2018,I,Bay Area,
263,Imaginary Ventures,$75,4/17/2018,2018,I,"NYC, UK",
264,Shrug Capital,$3,4/16/2018,2018,I,Bay Area,
265,Cyberstarts VC,$54,4/16/2018,2018,I,Israel,
266,Lerer Hippeau,$150,4/13/2018,2018,VI,NYC,https://www.sec.gov/Archives/edgar/data/1725661/000172566118000001/xslFormDX01/primary_doc.xml
267,Background Capital,$9,4/10/2018,2018,I,Bay Area,
268,Conductive Ventures,$100,4/10/2018,2018,I,Bay Area,
269,Unusual Ventures,$150,4/10/2018,2018,I,Bay Area,
270,Makers Fund,$180,4/4/2018,2018,I,Hong Kong,
271,Congruent Ventures,$92,4/5/2018,2018,I,Bay Area,
272,Firebrand Ventures,$18,4/3/2018,2018,I,"Kansas City, Missouri",https://www.firebrandvc.com/news-announcing-close-of-firebrand
273,Unitus Seed Fund,$13,4/2/2018,2018,II,Seattle,
274,AngelPad,$35,4/2/2018,2018,III,"Bay Area, NYC",
275,Ground Up Ventures,$19,3/30/2018,2018,I,"NYC, Israel",
276,Bedrock Capital,$122,3/27/2018,2018,I,NYC,
277,Harrison Metal Capital,$68,3/26/2018,2018,V,Bay Area,
278,Blockchain Capital,$250,3/22/2018,2018,IV,Bay Area,https://www.axios.com/blockchain-capital-1521650515-db901233-2c86-42f8-b21a-1d1d323e658a.html
279,Casa Verde Capital ,$45,3/13/2018,2018,I,Los Angeles,
280,Anterra Capital,$200,3/21/2018,2018,I,"Boston, Amsterdan ",
281,S Capital,$94,3/20/2018,2018,I,Israel,
282,VentureFriends,$56,3/19/2018,2018,II,Greece,
283,Sofinnova Partners,$154,3/12/2018,2018,IX,"Paris, France",
284,Companion Fund,$100,3/9/2018,2018,I,"NYC, LA, SF",https://companionfund.com/
285,Allegion Ventures,$50,3/9/2018,2018,I,Ireland ,https://www.allegion.com/corp/en/news/2018/allegion-ventures-launch.html
286,VitalizeVC,$16,3/1/2018,2018,I,Chicago,https://t.co/yDIeoH3fFi?amp=1
287,Spero Ventures,$100,3/1/2018,2018,I,Bay Area,https://www.forbes.com/sites/alexkonrad/2018/03/21/omidyar-networks-spins-out-for-profit-spero-ventures
288,Heuristic Capital Partners,$34,2/28/2018,2018,I,Bay Area,
289,Root Ventures,$77,3/1/2018,2018,II,"Bay Area, LA",
290,Berkeley SkyDeck,$24,2/23/2018,2018,I,Bay Area,
291,Boost VC,$39,2/14/2018,2018,III,Bay Area,https://venturebeat.com/2018/02/13/adam-drapers-boost-vc-closes-new-fund-to-become-the-y-combinator-of-sci-fi-startups/
292,True Wealth Ventures,$19,2/14/2018,2018,I,"Austin, Texas",
293,UpWest Labs,$18,2/14/2018,2018,III,"Bay Area, Israel",https://medium.com/upwest-labs/announcing-our-new-fund-upwest-fund-iii-99ab25a4cad9
294,Homebrew,$90,2/12/2018,2018,III,Bay Area,https://homebrewvc.tumblr.com/post/170809955053/announcing-homebrew-iii-finding-our
295,Notation,$27,2/7/2018,2018,II,NYC,https://techcrunch.com/2018/02/07/nyc-based-notation-capital-raises-27-million-for-second-fund/
296,Science Ventures,$75,2/1/2018,2018,II,Los Angeles,https://www.sec.gov/Archives/edgar/data/1698567/000169856718000001/xslFormDX01/primary_doc.xml
297,LDV Capital,$10,2/1/2018,2018,II,NYC,https://www.wsj.com/articles/ldv-capital-raises-seed-fund-for-visual-tech-1517488201
298,Haystack,$23,1/31/2018,2018,IV,Bay Area,
299,Bonfire Ventures,$60,1/30/2018,2018,I,Los Angeles,
300,LRVHealth,$100,1/30/2018,2018,IV,Boston,
301,AI Fund,$175,1/30/2018,2018,I,Bay Area,
302,Loup Ventures,$25,1/23/2018,2018,I,"Minneapolis, US",https://www.americaninno.com/minne/inno-news-minne/ai-focused-firm-loup-ventures-closes-first-fund-at-25m/
303,Sinai Ventures,$90,1/22/2018,2018,I,"Bay Area, NYC, Israel",
304,Catapult,$55,1/18/2018,2018,I,Bay Area,
305,Social Leverage Capital,$39,1/10/2018,2018,III,"San Diego, Bay Area",
306,Sequoia Ventues - Scout Fund,$180,1/18/2018,2018,III,Bay Area,
307,Basis Set Ventures,$140,12/1/2017,2017,I,Bay Area,
308,Precursor Ventures,$15,1/12/2017,2017,I,Bay Area,https://techcrunch.com/2017/01/11/precursor-ventures-is-a-classic-seed-stage-fund-with-a-refreshing-new-twist/
309,1confirmation,$36,12/27/2017,2017,I,Bay Area,https://thecontrol.co/introducing-1confirmation-5fed4099fdc3
310,Fly Ventures,$41,12/21/2017,2017,I,"Berlin, Germany",
311,Hadean Ventures,$118,12/20/2017,2017,I,Norway,
312,Halogen Ventures,$10,12/20/2017,2017,I,Bay Area,
313,Inventure,$130,12/19/2017,2017,III,Finland,https://techcrunch.com/2017/12/19/inventure-2/
314,SeventySix Capital,$10,12/17/2017,2017,I,"Conshohocken, PA, USA",
315,Anzu Partners,$128,12/12/2017,2017,I,"San Diego, CA",
316,Hanaco Venture Capital,$80,12/12/2017,2017,I,Israel,
317,TMT Crypto Fund ,$60,12/6/2017,2017,I,UK,
318,Acceleprise,$7,12/6/2017,2017,II,Bay Area,
319,Viola Fintech,$100,12/6/2017,2017,I,Tel Aviv,https://techcrunch.com/2017/12/06/viola-fintech/
320,CrossCut,$125,12/6/2017,2017,IV,Los Angeles,https://techcrunch.com/2017/12/06/with-the-los-angeles-tech-scene-exploding-crosscut-ventures-raises-125-million-to-invest/
321,Real Ventures,$180,11/30/2017,2017,IV,"Montreal/Toronto, Canada",https://www.theglobeandmail.com/technology/foreign-funds-help-real-ventures-raise-180-million-for-two-new-capital-pools/article37130599/
322,Red & Blue Ventures,$14,12/7/2017,2017,I,Phiiladelphia,
323,Jump Capital,$100,12/7/2017,2017,I,Chicago,
324,NeoTribe Ventures,$114,11/28/2017,2017,I,Bay Area,
325,NFX,$150,11/28/2017,2017,II,"Bay Area, Israel",https://www.nfx.com/post/announcing-the-new-nfx
326,Engineering Capital,$48,11/16/2017,2017,II,Bay Area,
327,Defy Ventures,$151,11/16/2017,2017,I,Bay Area,
328,Maryland Innovation Opportuniy Fund,$25,11/16/2017,2017,I,"Maryland, US",https://technical.ly/baltimore/2017/11/14/maryland-venture-fund-closed-25m-invest-tech-companies/?utm_content=bufferae75f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
329,Tusk Ventures,$36,11/3/2017,2017,I,NYC,
330,BioGeneration Ventures,$95,11/2/2017,2017,III,Netherlands,
331,Brighteye Ventures,$58,11/2/2017,2017,I,Luxembourg,
332,Cypress Growth Capital,$42,11/2/2017,2017,III,"Dallas, TX",
333,Viola Ventures (fka Carmel Ventures),$200,11/1/2017,2017,I,Israel,
334,CircleUp Growth Partners,$125,10/31/2017,2017,I,Bay Area,
335,Grove Ventures,$110,10/31/2017,2017,I,Israel,
336,M33 Growth,$180,10/13/2017,2017,I,Boston,
337,KCRise Fund,$19,9/1/2017,2017,I,"Kansas City, MO",
338,Village Global,$100,10/1/2017,2017,I,Bay Area,
339,Weekend Fund,$3,8/29/2017,2017,I,Bay Area,https://techcrunch.com/2017/08/29/weekend-fund-is-ryan-hoovers-3m-angel-fund/
340,Arab Angel Fund,$25,9/15/2017,2017,I,"Abu Dhabi, NYC, Washington DC",
341,Costanoa Ventures,$175,9/14/2017,2017,III,Bay Area,https://techcrunch.com/2017/09/14/costanoa-ventures-raises-175-million-fund/
342,Breakout Ventures,$60,9/14/2017,2017,I,Bay Area,
343,Point Judith Capital,$61,9/13/2017,2017,IV,Boston,targeting $100M fund
344,Insignia Venture Partners,$25,9/13/2017,2017,I,Singapore,
345,Asus,$50,9/13/2017,2017,I,Taiwanese,
346,StageOne Ventures,$110,9/5/2017,2017,III,"Israel, Bay Area",
347,Longevity Fund,$22,8/22/2017,2017,II,Bay Area,https://techcrunch.com/2017/08/22/this-23-year-old-just-closed-her-second-fund-which-is-focused-on-aging-with-22-million/
348,Leap Global Partners,$15,8/18/2017,2017,I,Bay Area,
349,Active Capital,$13,8/18/2017,2017,I,"Austin, Texas",
350,K9 Ventures,$42,8/14/2017,2017,III,Bay Area,https://techcrunch.com/2017/08/14/k9-ventures-sticks-to-its-knitting-closing-its-third-fund-with-42-million/
351,Revel Partners,$21,8/3/2017,2017,II,"NYC, Germany",
352,Rewired,$100,8/3/2017,2017,I,Switzerland,
353,Tracker,$16,8/3/2017,2017,I,Los Angeles,
354,NextView,$50,8/2/2017,2017,III,"Boston, NYC",
355,Elevation Innovation Partners,$15,8/2/2017,2017,I,NYC,
356,Third Prime Capital,$36,8/1/2017,2017,I,"NYC, South Carolina",
357,Amplo,$100,7/26/2017,2017,I,"Bay Area, NYC, Texas",
358,Mangrove Capital Partners,$170,7/19/2017,2017,V,Luxembourg,
359,Qumra Capital,$115,7/19/2017,2017,II,Israel,
360,Moment Ventures,$13,7/18/2017,2017,I,Bay Area,raising $50M
361,Evolution Equity Partners,$125,7/17/2017,2017,I,"NYC, Germany",
362,Babel Ventures,$30,7/11/2017,2017,I,Bay Area,
363,Blackhorn Ventures,$13,7/11/2017,2017,I,"Boulder, Colorado",
364,Crowberry Capial,$40,7/7/2017,2017,I,Iceland,crowberrycapital.com
365,Felix Capital,$150,7/6/2017,2017,II,UK,
366,Main Capital Partners,$114,7/6/2017,2017,V,Netherlands,
367,Breega Capital,$113,7/5/2017,2017,II,France,
368,Cipio Partners,$197,7/5/2017,2017,I,"Germany, Luxembourg",
369,Growth Street Partners,$70,7/3/2017,2017,I,Bay Area,
370,LionBird,$35,6/30/2017,2017,II,Israel,
371,Kairos Ventures,$25,6/29/2017,2017,I,LA,
372,Benhamou Global Ventures,$480,6/28/2017,2017,III,Bay Area,
373,Capnamic Ventures,$131,6/27/2017,2017,I,Germany,
374,Pantera Capital,$24,6/27/2017,2017,I,Bay Area,
375,Ludlow Ventures,$45,6/27/2017,2017,II,Michigan,https://techcrunch.com/2017/06/27/ludlow-ventures-targets-40-million-for-second-fund/
376,Applied Materials (Korea),$20,6/26/2017,2017,I,Korea,
377,TIDE Africa Fund,$40,6/26/2017,2017,I,"Kenya, UK",
378,Intudo Ventures,$10,6/13/2017,2017,I,Indonesia,
379,500 Startups Japan,$35,6/14/2017,2017,I,Japan,
380,Glynn Capital,$153,6/14/2017,2017,V,Bay Area,
381,Hardware Club,$28,6/14/2017,2017,I,Bay Area,
382,MedMen,$60,6/14/2017,2017,I,Los Angeles,
383,Ventureast,$100,6/14/2017,2017,VI,India,
384,Palo Alto Networks Fund,$20,6/14/2017,2017,I,Bay Area,
385,Firstminute Capital,$85,6/12/2017,2017,I,UK,
386,The Geekdom Fund,$20,6/9/2017,2017,II,Texas,
387,Radian Capital,$150,4/21/2017,2017,I,NYC,
388,NRV,$33,6/7/2017,2017,I,"Richmond, Virginia",http://www.richmond.com/business/local/richmond-venture-capital-firm-nrv-raises-million-in-new-investment/article_f8608bf8-ba7e-596e-a763-dd143a248f4a.html
389,Kaszek Ventures,$200,6/5/2017,2017,III,Argentina,
390,Orkila Capital,$118,6/5/2017,2017,II,NYC,
391,Rooks Nest Ventures,$26,6/5/2017,2017,I,UK,
392,First Star,$25,3/3/2017,2017,II,Boston,
393,NextGen Venture Partners,$22,3/3/2017,2017,I,Washington DC,https://techcrunch.com/2017/03/03/nextgen-venture-partners-just-raised-a-22-million-fund-from-83-investors/
394,Serra Ventures,$32,6/1/2017,2017,III,Illinois ,
395,Pentech ,$114,5/24/2017,2017,III,UK,
396,Afore Capital,$47,5/12/2017,2017,I,Bay Area,
397,Peak Ventures,$50,5/9/2017,2017,II,Utah,https://techcrunch.com/2017/05/08/peak-ventures-shores-up-its-second-fund-for-50-million/
398,Dundee Venture Capital,$31,5/7/2017,2017,III,"Omaha, Nebraska / Minneapolis, MN",
399,YL Ventures,$75,5/4/2017,2017,III,"Bay Area, Israel",https://techcrunch.com/2017/05/04/yl-ventures-closes-75-million-fund-to-bring-israeli-startups-to-the-us/
400,Salesforce AppExchange fund,$100,5/3/2017,2017,I,Bay Area,https://venturebeat.com/2017/05/02/salesforce-launches-appexchange-partner-program-and-100-million-platform-fund/
401,Origin Ventures,$80,4/27/2017,2017,IV,"Chicago, Salt Lake City",https://techcrunch.com/2017/04/27/chicagos-origin-ventures-just-raised-80-million-for-its-fourth-fund/
402,SeedPlus,$18,4/25/2017,2017,I,Singapore,
403,YI Capital,$116,4/24/2017,2017,I,China,
404,ENIAC Ventures,$100,4/13/2017,2017,IV,"NYC, Bay Area",
405,Freestyle,$90,4/10/2017,2017,IV,Bay Area,
406,Felix Capital,$55,4/10/2017,2017,II,UK,
407,The Engine,$150,4/6/2017,2017,I,Boston,
408,Forward Ventures,$75,4/5/2017,2017,II,UK,
409,Resolute Ventures,$65,4/4/2017,2017,III,"Bay Area, Boston",
410,Israel Secondary Fund,$100,4/2/2017,2017,II,Israel,
411,Bullish,$7,3/31/2017,2017,I,"NYC, Denver, Conneticut ",
412,Banyan Capital,$25,3/31/2017,2017,IV,China,
413,Medical Technology Venture Partners,$20,3/27/2017,2017,I,Bay Area,
414,SAP.iO,$35,3/23/2017,2017,I,Bay Area,SAP.io
415,Octopus Ventures,$150,3/23/2017,2017,,London,
416,Biomatics Capital Partners,$200,3/15/2017,2017,I,Seattle,
417,Rokk3r Labs,$150,3/14/2017,2017,I,"Miami, Florida",
418,Floodgate,$131,3/11/2017,2017,VI,Bay Area,
419,Blumberg Capital,$200,3/9/2017,2017,IV,"Bay Area, NYC, Israel",
420,Pioneer Capital,$145,3/13/2017,2017,III,New Zealand,
421,Activant Capital,$75,3/13/2017,2017,II,"Connecticut, US",
422,K2 Global,$183,2/24/2017,2017,I,Bay Area,https://techcrunch.com/2017/02/23/k2-globals-183-million-fund-aims-to-decentralize-sand-hill-road/
423,Betaworks Ventures,$50,2/22/2017,2017,I,NYC,https://www.axios.com/pro-rata-2276639552.html
424,Vanedge Capital,$161,2/24/2017,2017,II,"Vancover, Canada",http://www.theglobeandmail.com/report-on-business/vanedge-capital-closes-largest-bc-venture-capital-fund-in-13-years/article34130224/
425,Project A,$147,2/22/2017,2017,II,Germany,
426,TrueBridge Capital Partners,$125,2/22/2017,2017,I,"North Carolina, US",
427,Cervin Ventures,$56,2/17/2017,2017,I,Bay Area,https://techcrunch.com/2017/02/16/cervin-ventures-unveils-new-56m-fund-aimed-at-the-future-of-the-enterprise-stack/
428,Fika Ventures,$40,2/15/2017,2017,I,Los Angeles,
429,Green Bay Ventures,$130,2/10/2017,2017,I,Bay Area,
430,Frontline Ventures ,$64,2/10/2017,2017,II,London,
431,Third Kind Ventures,$44,2/10/2017,2017,I,NYC,
432,FirstTime,$40,2/10/2017,2017,II,Israel,
433,Promus Ventures,$15,2/10/2017,2017,II,Chicago,
434,Grab Ventures,$100,2/10/2017,2017,I,Singapore,Corp VC fund of Grab Taxi
435,Amplify Ventures,$10,1/30/2017,2017,III,Los Angeles,
436,Correlation Ventures,$200,1/11/2017,2017,II,"Bay Area, San Diego, NYC",https://www.prnewswire.com/news-releases/correlation-ventures-raises-an-oversubscribed-200m-second-fund-300389254.html
437,Nyca Partners,$125,1/27/2017,2017,II,NYC,http://www.bizjournals.com/newyork/news/2017/01/27/nyca-partners-unveils-details-on-its-latest.html
438,Merus Capital,$85,1/24/2017,2017,III,Bay Area,
439,Flyover Capital,$46,1/3/2017,2017,I,Kansas,
440,Core Innovation Capital,$72,1/3/2017,2017,II,"Los Angeles, Bay Area",
441,Corrleation Ventures,$200,1/12/2017,2017,II,"San Diego, CA",
442,SOSV Investments,$150,1/4/2017,2017,III,Ireland ,
443,Eclipse Ventures,$184,1/12/2017,2017,II,Bay Area,
444,PivotNorth,,1/9/2017,2017,III,Bay Area,fund size not disclosed but likely sub $100M based on previous funds
445,Hatteras Ventures Partners,$150,1/6/2017,2017,V,"Durham, North Carolina",
446,Samsung NEXT,$150,1/5/2017,2017,I,Bay Area,
447,Digitalis Ventures,$100,1/5/2017,2017,I,NYC,
448,Marathon Venture Capital,$40,1/1/2017,2017,I,Greece,
449,Laconia,$13,1/1/2017,2017,II,NYC,
450,Firebank Ventures,$7,1/5/2017,2017,I,"Kansas City, MO",
451,Backstage Capital,$5,12/1/2016,2016,I,Bay Area,
452,BlueYard Capital,$120,1/4/2016,2016,I,"Berlin, Germany",http://techcrunch.com/2016/01/04/blueyard-capital/
453,GoAhead Ventures,$55,12/23/2016,2016,I,Bay Area,
454,SignalFire,$101,12/23/2016,2016,II,Bay Area,
455,Algebra Ventures,$40,12/23/2106,2016,I,Egypt,
456,Palm Beach Capital,$49,12/9/2016,2016,IV,"Palm Beach, Fl",https://www.sec.gov/Archives/edgar/data/1660491/000166049116000002/xslFormDX01/primary_doc.xml
457,Domain Associates,$163,12/9/2016,2016,IX,"San Diego, CA",https://www.sec.gov/Archives/edgar/data/1628864/000162886416000002/xslFormDX01/primary_doc.xml
458,Bullpen Capital,$75,12/2/2016,2016,III,Bay Area,
459,Founder Collective,$75,11/30/2016,2016,III,"Bay Area, Boston",https://medium.com/@foundercollective/announcing-founder-collective-iii-6fad299bb2b1#.f6zxrrf79
460,Draper Nexus,$175,11/23/2016,2016,II,"Bay Area, Japan",per Term Sheet
461,Caffeinated Capital,$17,11/23/2016,2016,I,Bay Area,$75M target - per Term Sheet
462,SV Angel,$53,11/23/2016,2016,VI,Bay Area,SEC filing - per Term Sheet
463,Slow Ventures,$145,11/18/2016,2016,III,Bay Area,https://techcrunch.com/2016/11/17/slow-ventures-launches-a-new-145m-fund-and-adds-scott-marlette-as-a-partner/
464,The House Fund,$6,11/16/2016,2016,I,"Berkeley, California",http://www.7x7.com/uc-berkeleys-the-house-raises-6m-to-incubate-student-start-ups-2078250174.html
465,BoldStart Ventures ,$47,11/15/2016,2016,III,NYC,https://techcrunch.com/2016/11/15/boldstart-ventures-locks-down-47-million-for-fund-three/
466,WME Ventures,$50,11/14/2016,2016,I,NYC,http://www.forbes.com/sites/alexkonrad/2016/11/14/beth-ferreira-and-wme-ventures-match-startups-with-talent/#529d612437dd
467,SJF Ventures,$74,11/4/2016,2016,IV,"Durham, North Carolina",
468,Relay Ventures,$150,11/4/2016,2016,III,"Bay Area, Toronto",
469,Campire Capital,$41,10/31/2016,2016,I,"Vancover, Canada",http://www.bctechnology.com/news/2016/10/21/Vancouver-based-Venture-Capital-Firm-Campfire-Capital-Closes-41.1-Million-Venture-Capital-Fund.cfm?id=36669
470,Chicago Ventues,$66,10/31/2016,2016,II,Chicago,http://www.chicagotribune.com/bluesky/originals/ct-chicago-ventures-66-million-second-fund-bsi-20161031-story.html
471,Javelin Venture Partners,$125,10/26/2016,2016,IV,Bay Area,https://techcrunch.com/2016/10/26/javelin-venture-partners-just-closed-its-fourth-fund-with-125-million/
472,Questa Capital,$100,10/24/2016,2016,I,Bay Area,"1st close was $100M, target is $250M"
473,Initialized Capital,$115,10/24/2016,2016,I,Bay Area,http://initialized.com/initializing-initialized-capital-dot-dot-dot
474,HealthX Ventures,$20,10/21/2016,2016,I,"Wisconsin, US",http://www.healthxventures.com/news/2016/10/2/healthx-ventures-closes-flagship-fund-of-more-than-20-million
475,Sound Ventures,$130,10/19/2016,2016,I,LA,"via Recode (early and growth stage funds, early stage fund is single LP Live Nation and growth stage fund is single LP Liberty"
476,Bowery Capital,$60,10/19/2016,2016,II,NYC,via Term Sheet
477,BioVentures Investors,$87,10/10/2016,2016,IV,Boston,http://www.businesswire.com/news/home/20161007005588/en/BioVentures-Investors-LLC-Closes-Fund-IV-87
478,Compound,$50,10/5/2016,2016,I,NYC,http://www.forbes.com/sites/alexkonrad/2016/10/05/metamorphic-ventures-rebrands-as-compound-with-new-fund/
479,Zetta Venture Partners,$100,10/5/2016,2016,II,Bay Area,http://www.forbes.com/sites/alexkonrad/2016/10/04/zetta-venture-partners-raises-100-million-for-intelligent-enterprise-software/#133c9096ca28
480,Information Venture Partners,$82,10/1/2016,2016,II,"Toronto, Canada",
481,Aleph,$180,9/26/2016,2016,II,Israel,
482,Benhamou Global Ventures,$38,9/16/2016,2016,III,Bay Area,https://www.pehub.com/2016/09/benhamou-global-ventures-has-first-close-on-75-mln-third-fund/
483,Rittenhouse Ventures,$18,9/22/2016,2016,II,"Philadelphia, USA",http://technical.ly/philly/2016/09/22/rittenhouse-ventures-closed-fund-ii
484,Elephant Partners,$156,9/22/2016,2016,I,"NYC, Boston",https://www.pehub.com/2016/09/elephant-partners-closes-initial-fund-at-over-156-mln/
485,s28 Capital,$170,9/20/2016,2016,I,Bay Area,
486,First Round Capital,$175,9/8/2016,2016,VI,"Bay Area, NYC, Philly",http://fortune.com/2016/09/08/first-round-capital-says-goodbye-to-co-founder-hello-to-new-fund/
487,MissionOG,$35,2/9/2016,2016,I,"Philadelphia, USA",http://www.phillymag.com/business/2016/02/09/missionog-35-million/
488,Long Ventures Partners,$20,9/5/2016,2016,I,Bay Area,"targeting $50M, have $20M already commited - http://fortune.com/2016/09/06/theres-a-new-ai-focused-vc-fund-in-silicon-valley/"
489,Bryant Stibel,$100,8/22/2016,2016,I,LA,http://www.wsj.com/articles/kobe-bryant-and-jeff-stibel-unveil-100-million-venture-capital-fund-1471838403
490,Brooklyn Bridge Ventures,$15,8/22/2016,2016,II,NYC,http://www.forbes.com/sites/alexkonrad/2016/08/22/charlie-odonnell-raises-15-million-fund/#338023466dab
491,Pear,$75,8/16/2016,2016,II,Bay Area,https://techcrunch.com/2016/08/16/pejman-mar-rebrands-as-it-unveils-a-75-million-new-fund/
492,KEC Ventures,$65,8/16/2016,2016,II,NYC,http://www.wsj.com/articles/kec-ventures-closes-on-65m-early-stage-fund-1471037718
493,Susa Ventures,$50,8/16/2016,2016,II,Bay Area,http://www.businesswire.com/news/home/20160816005355/en/Susa-Ventures-Closes-50M-Fund
494,Binary Capital,$175,8/1/2016,2016,II,Bay Area,https://techcrunch.com/2016/08/01/binary-capital/?ncid=rss
495,500 Istanbul,$15,7/21/2016,2016,I,Turkey,
496,Liquid 2 Ventures,$40,7/6/2016,2016,II,Bay Area,https://www.pehub.com/2016/07/nfl-hall-of-famer-joe-montanas-inaugural-venture-fund-targets-40-mln/
497,Forerunner Ventures,$122,7/5/2016,2016,III,Bay Area,https://www.sec.gov/Archives/edgar/data/1677697/000167769716000001/xslFormDX01/primary_doc.xml
498,Bloomberg Beta,$75,7/1/2016,2016,II,"NYC, Bay Area",
499,SaaStr Fund,$70,6/28/2016,2016,I,Bay Area,
500,Bee Partners,$30,6/28/2016,2016,II,Bay Area,
501,Union Square Ventures,$175,6/22/2016,2016,V,NYC,http://avc.com/2016/06/usv-2016/
502,Commerce Ventures,$26,6/13/2016,2016,II,Bay Area,1st close per SEC
503,Underscore,$85,6/9/2016,2016,I,Boston,http://www.xconomy.com/boston/2016/06/06/underscore-vc-looks-to-align-boston-tech-community-with-startups/#
504,Sherpa Ventures,$172,6/9/2016,2016,II,Bay Area,
505,Softtech VC,$100,6/8/2016,2016,V,Bay Area,http://techcrunch.com/2016/06/08/softtech-vc-closes-its-fifth-fund-with-100-million-raises-50-million-opportunity-fund/
506,"Softtech VC ""breakout"" ",$50,6/8/2016,2016,I,Bay Area,http://techcrunch.com/2016/06/08/softtech-vc-closes-its-fifth-fund-with-100-million-raises-50-million-opportunity-fund/
507,Greenspring Associates,$200,6/3/2016,2016,II,"Maryland, US",http://finance.yahoo.com/news/greenspring-associates-raises-200-million-110000236.html
508,Moneta Ventures,$25,6/2/2016,2016,II,"Sacramento, CA, US",http://techcrunch.com/2016/06/02/a-micro-vc-firm-in-sacramento-raises-a-fast-second-fund/
509,Romulus Capital,$75,6/1/2016,2016,III,Boston,http://www.forbes.com/sites/alexkonrad/2016/06/01/how-romulus-capital-built-a-150-million-firm/#535ebd0126d1
510,Clear Ventures,$120,6/1/2016,2016,I,Bay Area,http://techcrunch.com/2016/06/01/clear-ventures-run-by-veteran-investors-launches-debut-fund-with-120-million/
511,Chrysalix Venture Capital,$111,5/31/2016,2016,I,Canada,https://www.biv.com/article/2016/5/chrysalix-focusing-robots-new-146-million-fund/
512,iNovia,$120,1/20/2016,2016,IV,Canada,http://www.wsj.com/articles/canadas-inovia-capital-raises-c-175-million-for-new-venture-capital-fund-1453319996
